Country Name,Country Code,Indicator Name,Indicator Code,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Aruba,ABW,Lending interest rate (%),FR.INR.LEND,10.6,10.6,10.375,10.25,11.04166667,13.14166667,12.06666667,12.1,13.08333333,11.5,11.58333333,11.53333333,11.325,11.00833333,11.23333333,10.76666667,10.65,9.658333333,9.183333333,8.725,8.233333333,8.25,
Andorra,AND,Lending interest rate (%),FR.INR.LEND,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Lending interest rate (%),FR.INR.LEND,,,,,,,,,,,,,17.97,18.135,14.9175,15,15.69,15.14583333,15,15.07916667,15,15,
Angola,AGO,Lending interest rate (%),FR.INR.LEND,,206.25,217.875,37.75,45,80.29666667,103.1601742,95.96656083,97.33583333,96.115,82.33416667,67.71813074,19.51081445,17.6988356,12.53360576,15.68207424,22.54357202,18.75724054,16.65640132,15.8086383,16.38227094,16.8818624,
Albania,ALB,Lending interest rate (%),FR.INR.LEND,23.66666667,19.65,23.95833333,,,21.615,22.1025,19.65416667,15.30416667,14.27083333,11.76152183,13.075,12.93994286,14.09962279,13.01964271,12.66093515,12.82232989,12.4320986,10.88034654,9.826604344,8.658617478,8.70284668,
Arab World,ARB,Lending interest rate (%),FR.INR.LEND,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,Lending interest rate (%),FR.INR.LEND,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,Lending interest rate (%),FR.INR.LEND,10.05916667,17.84666667,10.51083333,9.2425,10.635,11.04,11.08551772,27.70542642,51.67878,19.14624858,6.776578742,6.163241667,8.626916667,11.05203333,19.46815833,15.655,10.5575,14.0875,14.06083333,17.14916667,24.00916667,24.91583333,
Armenia,ARM,Lending interest rate (%),FR.INR.LEND,,111.8575,66.35833333,54.2275,48.485,38.84833333,31.56600039,26.6875,21.13698193,20.82905443,18.63328512,17.98427289,16.52510371,17.51568537,17.04948273,18.76447059,19.20042831,17.75447379,17.23006824,15.99498737,16.40866526,17.59033032,
American Samoa,ASM,Lending interest rate (%),FR.INR.LEND,,,,,,,,,,,,,,,,,,,,,,,
