Country Name,Country Code,Indicator Name,Indicator Code,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Aruba,ABW,Real interest rate (%),FR.INR.RINR,,12.78231464,13.89328874,5.934309957,3.318126505,14.30669366,2.678992204,7.00013721,12.39020806,15.12711997,2.409749744,7.023680482,9.689643002,-1.293013965,-2.662309609,16.75879282,,,,,,,
Andorra,AND,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,10.07615212,-3.470294022,12.46673371,17.47530159,5.713021941,4.146750003,6.181851186,9.89484317,14.72113522,13.92918548,
Angola,AGO,Real interest rate (%),FR.INR.RINR,,-84.65161616,-94.21993629,-29.11161789,7.155928158,-72.55504755,-60.79751921,-5.019293568,-33.46214609,6.073114851,30.43176011,32.25268069,5.723350397,4.512979403,-5.972479343,24.95201262,0.122277226,-4.356950215,8.953173689,12.97882331,18.00013087,21.7425005,
Albania,ALB,Real interest rate (%),FR.INR.RINR,-10.65612025,13.3335716,-12.2577868,,,19.77840091,17.42737787,15.79937782,12.59008172,8.437210266,9.187871776,10.18697983,9.97496367,10.16008361,8.821670672,9.996131232,7.974303696,9.893341452,9.73910309,9.58674432,6.875521181,8.209190712,
Arab World,ARB,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,Real interest rate (%),FR.INR.RINR,7.010085787,14.23111105,10.56874426,9.75165233,12.5543667,13.11746834,9.945071689,29.1202848,16.17980388,7.828852439,-18.32710734,-4.029025142,-5.740521569,-5.631329369,-1.466042579,5.250905039,-5.676170956,-3.149625536,-3.881143096,-2.1412178,-4.122577454,,
Armenia,ARM,Real interest rate (%),FR.INR.RINR,,-18.87949071,39.10516828,30.99434939,34.1346116,38.77366744,33.39846306,21.73397423,18.33274692,15.5583255,11.59233052,14.28173191,11.37952805,12.74351141,10.43491465,15.80345155,10.60763579,12.91975789,11.28119329,12.21684305,13.33048339,16.21489089,
American Samoa,ASM,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,
